Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,1,0,3,1,Devan Bains,2,3.0,0.0,0,2,1,100.0,100.0,0,0,5.0,0.0,0,0,0.0,0,0,0,5,0,0,0,0
 1,1,13,47,11,Kenny Veliz,6,4.3,53.8,7,13,5,46.2,20.0,0,2,1.8,2.5,4,1,0.3,4,2,0,20,0,3,1,5
 2,31,39,634,23,Aaron Laflin,80,27.6,53.8,21,174,77,46.0,40.3,21,31,9.2,1.1,8,19,8.1,73,138,0,212,4,187,49,35
 3,0,0,15,3,Christian Chapman,1,5.0,0.0,0,5,1,20.0,0.0,0,3,0.7,0.0,0,0,0.0,2,0,0,2,0,0,0,0
 4,41,38,432,23,Matt Laflin,59,18.8,71.1,27,179,107,33.0,38.3,4,39,8.1,0.9,17,11,3.4,49,58,0,186,3,79,21,36
 5,15,17,311,23,Joshua Kimble,49,13.5,47.1,8,134,48,36.6,31.3,2,14,5.3,0.8,6,3,1.8,14,24,0,121,0,42,18,11
10,17,78,712,23,Reggie Nelson,64,31.0,73.1,57,172,52,37.2,32.7,22,53,8.8,1.6,23,8,4.6,34,76,0,202,0,105,29,86
11,0,5,86,14,Spencer Reed,7,6.1,60.0,3,20,0,35.0,0.0,0,3,1.2,0.7,3,3,1.9,18,19,0,17,0,27,8,2
12,18,19,426,23,Ben Nguyen,31,18.5,68.4,13,87,52,35.6,34.6,1,9,4.0,6.6,14,3,1.0,18,20,0,93,0,24,4,59
14,1,10,140,9,George Olumba,6,15.6,100.0,10,23,3,26.1,33.3,0,5,2.6,1.8,7,7,4.6,21,31,0,23,1,41,10,9
15,33,20,472,23,Branson Garcia,60,20.5,70.0,14,142,80,42.3,41.3,16,16,7.3,0.5,9,2,1.7,31,21,0,167,0,39,18,8
20,42,20,433,19,Michael Pierick,66,22.8,70.0,14,165,106,40.0,39.6,16,31,9.9,0.9,21,1,3.6,37,58,0,188,0,69,11,27
22,0,61,527,23,Ryan Edwards,48,22.9,72.1,44,129,0,37.2,0.0,22,43,6.1,0.3,10,7,3.7,69,63,0,140,5,84,21,13
23,3,12,127,17,Rob Chappelle,13,7.5,66.7,8,33,5,39.4,60.0,1,13,2.2,0.0,2,2,1.0,20,9,0,37,0,17,8,0
24,0,23,223,20,Daniel Pugh,25,11.2,82.6,19,65,5,38.5,0.0,8,28,3.5,0.6,6,2,2.3,30,40,0,69,0,45,5,18
42,0,0,33,10,Alex Del Real,1,3.3,0.0,0,9,4,11.1,0.0,1,2,0.2,1.0,0,1,0.8,1,7,0,2,0,8,1,2
