Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
01,7,116,780,24,Leticia Oceguera,80,32.5,60.3,70,208,36,38.5,19.4,22,100,9.9,0.8,61,7,3.5,64,65,0,237,1,83,18,80
03,1,71,732,24,Kayla Polman,60,30.5,49.3,35,158,2,38.0,50.0,24,87,6.5,0.2,39,11,7.0,93,115,0,156,8,168,53,17
04,0,8,269,22,Karina Rodriguez,8,12.2,62.5,5,26,7,30.8,0.0,1,21,1.0,0.2,9,1,1.7,17,30,0,21,0,37,7,5
05,53,72,747,22,Shelby Howard,122,34.0,77.8,56,363,170,33.6,31.2,22,90,16.0,0.4,37,1,3.3,36,55,0,353,0,72,17,33
10,0,8,175,22,Daman Singh,9,8.0,50.0,4,22,0,40.9,0.0,0,12,1.0,0.0,3,3,1.2,18,18,0,22,0,26,8,0
15,0,10,172,10,Nelly Kilpatrick,15,17.2,40.0,4,33,0,45.5,0.0,5,19,3.4,0.2,4,7,1.9,18,14,0,34,1,19,5,4
20,0,39,695,24,Adrienne Carmona,45,29.0,59.0,23,125,0,36.0,0.0,19,73,4.7,0.2,11,27,5.6,62,90,0,113,2,135,45,17
21,13,36,513,24,Samantha Oshiro,30,21.4,75.0,27,130,51,23.1,25.5,16,52,4.2,0.2,22,1,2.4,44,46,1,100,1,58,12,10
22,14,27,457,22,Maya Campo,38,20.8,70.4,19,158,85,24.1,16.5,6,36,5.0,0.6,25,1,1.8,18,31,0,109,0,39,8,22
24,0,10,181,20,Ifeyinwa Iwekaogwu,8,9.1,40.0,4,35,1,22.9,0.0,4,17,1.0,0.2,9,0,0.8,23,13,0,20,0,16,3,4
32,5,8,69,6,Reanna Karp,6,11.5,37.5,3,25,17,24.0,29.4,1,8,3.3,0.5,2,0,1.8,4,9,0,20,0,11,2,4
33,3,2,54,8,Isabella Nelson,4,6.8,100.0,2,10,6,40.0,50.0,0,4,1.6,0.5,1,0,0.5,7,2,0,13,0,4,2,2
