Number,3FG-M,FTA,MIN,GP,Name,FGM,MIN/G,FT%,FTM,FGA,3FG-A,FG%,3FG%,GS,TO,PTS/G,A/TO,STL,BLKS,REB/G,PF,DREB,TF,PTS,DQ,REB,OREB,AST
 0,0,16,198,19,Marshall Grasty,13,10.4,56.3,9,32,0,40.6,0,0,15,1.8,0.7,1,3,1.5,15,22,0,35,0,29,7,10
 1,12,63,866,29,Mitch Flores,21,29.9,61.9,39,117,50,17.9,24,28,49,3.2,1.6,27,1,2.3,49,48,0,93,0,66,18,77
 2,19,37,581,29,Kevin Ellsworth,60,20,70.3,26,162,62,37,30.6,17,62,5.7,0.3,9,1,3,73,58,1,165,2,88,30,20
 3,3,6,253,26,Zachary Lau,19,9.7,50,3,67,24,28.4,12.5,1,40,1.7,0.7,5,2,1.2,24,25,0,44,0,31,6,26
 5,34,69,446,29,Griffin Alexander,80,15.4,73.9,51,237,136,33.8,25,10,51,8.4,0.5,10,0,1.1,43,27,0,245,1,31,4,23
11,9,225,800,28,George Idehen,121,28.6,56.9,128,305,34,39.7,26.5,25,83,13.5,0.8,32,31,9.3,92,179,1,379,3,260,81,70
13,1,0,29,8,Jonas Bell,2,3.6,0,0,4,2,50,50,0,4,0.6,0.3,0,1,0.5,0,4,0,5,0,4,0,1
14,13,35,422,27,Robert Chappelle,46,15.6,45.7,16,149,51,30.9,25.5,10,26,4.5,0.8,8,2,2.7,51,46,1,121,1,72,26,21
15,11,3,175,23,Drew Orr,14,7.6,66.7,2,66,53,21.2,20.8,0,12,1.8,0.6,4,0,0.6,12,6,0,41,0,14,8,7
20,38,40,529,23,Michael Pierick,60,23,77.5,31,200,139,30,27.3,16,47,8.2,0.9,30,3,2.9,51,51,2,189,0,67,16,43
21,1,64,424,18,Martin Harris,57,23.6,56.3,36,163,7,35,14.3,8,30,8.4,0.9,10,3,2.3,35,26,0,151,1,42,16,26
22,0,109,795,29,Ryan Edwards,85,27.4,63.3,69,228,1,37.3,0,29,61,8.2,0.1,15,14,5.3,84,87,0,239,3,154,67,9
24,1,23,162,21,Daniel Pugh,16,7.7,60.9,14,54,5,29.6,20,0,13,2.2,0.3,7,2,1.8,28,21,0,47,0,37,16,4
32,1,2,76,13,James Reed,3,5.8,0,0,16,8,18.8,12.5,1,6,0.5,0.3,3,0,0.3,4,3,0,7,0,4,1,2
42,4,0,41,12,Alex Del Real,6,3.4,0,0,16,6,37.5,66.7,0,3,1.3,0.3,0,0,0.8,4,7,0,16,0,9,2,1
